Rank,Brand,Product Category,Points,,
476,Metrópoles,Media & Publishing,3.6,,
476,AIB,Financial Services,3.6,,
476,Toon Blast,Media & Publishing,3.6,,
476,CEAR,"Non-profit, public sector & education",3.6,,
476,Reebok,Clothing & Accessories,3.6,,
476,Albalact,Food,3.6,,
476,Chaindrite,Household & Domestic,3.6,,
476,PMU,Leisure & Entertainment,3.6,,
476,Ministerio de Salud,"Non-profit, public sector & education",3.6,,
476,Banco Bradesco,Financial Services,3.6,,
476,Museo de la Memoria y los Derechos Humanos,"Non-profit, public sector & education",3.6,,
476,Los Paleteros,Food,3.6,,
476,Busch,Alcoholic Drinks,3.6,,
476,OUIGO,Transport & Tourism,3.6,,
476,Système U,Retail,3.6,,
476,Sekron Digital,Technology & Electronics,3.6,,
476,British Army,"Non-profit, public sector & education",3.6,,
476,Veloretti,Automotive,3.6,,
511,Mothercare,Retail,3.4,,
511,Carsales,Automotive,3.4,,
511,JBL,Technology & Electronics,3.4,,
511,White Ribbon,"Non-profit, public sector & education",3.4,,
511,Disque Denúncia,"Non-profit, public sector & education",3.4,,
511,ELA,"Non-profit, public sector & education",3.4,,
511,Master,Toiletries & Cosmetics,3.4,,
511,CAMP 2018 Marketing Congress,Leisure & Entertainment,3.4,,
511,Radio.net,Media & Publishing,3.4,,
511,Shutterstock,Media & Publishing,3.4,,
511,UNICEF,"Non-profit, public sector & education",3.4,,
511,National Organization for Rare Disorders,"Non-profit, public sector & education",3.4,,
511,Menschen für Menschen,"Non-profit, public sector & education",3.4,,
511,Nashville Convention & Visitors Corp,Transport & Tourism,3.4,,
511,SANE,"Non-profit, public sector & education",3.4,,
511,Ministry of Education,"Non-profit, public sector & education",3.4,,
511,Three,Telecoms & Utilities,3.4,,
511,Xfinity,Telecoms & Utilities,3.4,,
511,Volvo Excavators,Automotive,3.4,,
511,Alzheimer-Forschung,"Non-profit, public sector & education",3.4,,
511,BRAC,"Non-profit, public sector & education",3.4,,
511,Lacoste,Clothing & Accessories,3.4,,
511,Netflorist,Retail,3.4,,
511,Estrella Jalisco,Alcoholic Drinks,3.4,,
511,5 Gum,Food,3.4,,
511,La Sirena,Retail,3.4,,
511,Karajan Academy of the Berlin Philharmonics / WWF,"Non-profit, public sector & education",3.4,,
511,Auckland Transport,"Non-profit, public sector & education",3.4,,
511,BreezoMeter,"Non-profit, public sector & education",3.4,,
511,Dollar Shave Club,Toiletries & Cosmetics,3.4,,
511,Sky,Media & Publishing,3.4,,
511,Billie,Toiletries & Cosmetics,3.4,,
511,Pornhub,Media & Publishing,3.4,,
511,Line Man,Retail,3.4,,
511,State Street Global Advisors,Financial Services,3.4,,
511,Rättviseförmedlingen & Fredrika Bremer Association,"Non-profit, public sector & education",3.4,,
511,Flying Blue,Transport & Tourism,3.4,,
511,Visual Studio,Technology & Electronics,3.4,,
511,Marie Claire,Media & Publishing,3.4,,
511,Microsoft,Technology & Electronics,3.4,,
511,Spyro Reignited Trilogy,Technology & Electronics,3.4,,
511,Drano,Household & Domestic,3.4,,
511,Gumshoe,Transport & Tourism,3.4,,
511,Transavia,Transport & Tourism,3.4,,
511,Helsingin Sanomat,Media & Publishing,3.4,,
511,MJ Hegar for Texas,"Non-profit, public sector & education",3.4,,
511,Amazon Prime,Media & Publishing,3.4,,
558,The Lion's Share,"Non-profit, public sector & education",3.2,,
559,Dunkin’,Retail,3.0,,
559,Banco Pichincha,Financial Services,3.0,,
559,Lufthansa,Transport & Tourism,3.0,,
559,Tide,Household & Domestic,3.0,,
559,British Airways,Transport & Tourism,3.0,,
