Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
266,R/GA,Tokyo,Creative Agency,Japan,,"Technology & Electronics, Toiletries & Cosmetics",9.2
266,P4 Ogilvy,Panama City,Creative Agency,Panama,,Retail,9.2
268,Don,Buenos Aires,Creative Agency,Argentina,X,"Household & Domestic, Media & Publishing",9.0
268,Cheil Worldwide,São Paulo,Creative Agency,Brazil,X,Technology & Electronics,9.0
268,McCann,San Jose,Creative Agency,Costa Rica,,Transport & Tourism,9.0
271,Saatchi & Saatchi,Warsaw,Creative Agency,Poland,,Technology & Electronics,8.9
272,&Co,Copenhagen,Creative Agency,Denmark,X,"Business & Industrial, Retail",8.8
273,DDB,Guaynabo,Creative Agency,Puerto Rico,,"Automotive, Household & Domestic",8.7
273,Grey,Dubai,Creative Agency,United Arab Emirates,,Leisure & Entertainment,8.7
273,DDB,Johannesburg,Creative Agency,South Africa,,"Food, Non-profit, public sector & education",8.7
276,J. Walter Thompson,Bangkok,Creative Agency,Thailand,,"Household & Domestic, Non-profit, public sector & education, Toiletries & Cosmetics",8.6
276,Dentsu,Jakarta,Creative Agency,Indonesia,,Food,8.6
278,BBDO,Santiago,Creative Agency,Chile,,"Household & Domestic, Retail",8.5
278,Leo Burnett,Bangkok,Creative Agency,Thailand,,Financial Services,8.5
280,Weber Shandwick,London,Creative Agency,UK,,"Non-profit, public sector & education",8.4
280,Scanad,Nairobi,Creative Agency,Kenya,,"Media & Publishing, Transport & Tourism",8.4
280,whiteGREY,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education",8.4
280,AKQA,São Paulo,Creative Agency,Brazil,,Media & Publishing,8.4
284,X-Line Co,Taipei,Creative Agency,Taiwan,X,Clothing & Accessories,8.3
285,N=5,Amsterdam,Creative Agency,Netherlands,X,Telecoms & Utilities,8.2
286,DAVID,São Paulo,Creative Agency,Brazil,,Soft Drinks,8.1
286,Ogilvy,La Paz,Creative Agency,Bolivia,,Financial Services,8.1
286,Publicis,Istanbul,Creative Agency,Turkey,,Automotive,8.1
286,BBDO,Chicago,Creative Agency,USA,,Food,8.1
286,Hakuhodo Kettle,Tokyo,Creative Agency,Japan,,Telecoms & Utilities,8.1
