Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
284,Wavemaker,Toronto,Creative Agency,Canada,,"Household & Domestic, Soft Drinks",11.5
285,Kinetic Advertising,Mumbai,Creative Agency,India,X,"Non-profit, public sector & education",11.4
285,Ansible,Santiago,Creative Agency,Chile,X,"Alcoholic Drinks, Retail",11.4
285,Canvas Worldwide,Los Angeles,Creative Agency,USA,X,Automotive,11.4
285,Carat,Paris,Creative Agency,France,,Financial Services,11.4
285,CLM BBDO,Paris,Creative Agency,France,,Media & Publishing,11.4
285,Energy BBDO,Chicago,Creative Agency,USA,,Pharma & Healthcare,11.4
285,Fuse,Hong Kong,Creative Agency,Hong Kong,X,Soft Drinks,11.4
285,Havas,Barcelona,Creative Agency,Spain,,Technology & Electronics,11.4
285,Integer Group,New York,Creative Agency,USA,,Soft Drinks,11.4
285,OMD,Dusseldorf,Creative Agency,Germany,,Retail,11.4
285,Reuters,New York,Creative Agency,USA,X,Financial Services,11.4
285,Sid Lee Media,Quebec,Creative Agency,Canada,X,Leisure & Entertainment,11.4
285,Vertic,Singapore,Creative Agency,Singapore,X,Financial Services,11.4
298,Kairo,Cairo,Creative Agency,Egypt,X,Retail,11.0
298,Leo Burnett,Beirut,Creative Agency,Lebanon,,"Non-profit, public sector & education",11.0
298,MediaCom,Riyadh,Creative Agency,Saudi Arabia,,Media & Publishing,11.0
298,Memac Ogilvy & Mather,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Technology & Electronics",11.0
298,TBWA\Istanbul,Istanbul,Creative Agency,Turkey,,"Non-profit, public sector & education",11.0
303,Ansible,Sydney,Creative Agency,Australia,X,Automotive,10.0
303,Carat,Detroit,Creative Agency,USA,,Automotive,10.0
303,Dimension Data,Johannesburg,Creative Agency,South Africa,X,Technology & Electronics,10.0
303,iProspect,New York,Creative Agency,USA,,Media & Publishing,10.0
303,Mindshare,Stockholm,Creative Agency,Sweden,,Toiletries & Cosmetics,10.0
308,Fulcrum,Lanmadaw,Creative Agency,Myanmar,X,Soft Drinks,9.9
309,DDB,Singapore,Creative Agency,Singapore,,Toiletries & Cosmetics,9.8
309,Essence Digital,Sydney,Creative Agency,Australia,,Technology & Electronics,9.8
309,R/GA,Sydney,Creative Agency,Australia,,Technology & Electronics,9.8
309,UM,Taipei City,Creative Agency,Taiwan,,Toiletries & Cosmetics,9.8
309,Mindshare,Beijing,Creative Agency,China (Mainland),,Soft Drinks,9.8
309,Posterscope China,Shanghai,Creative Agency,China (Mainland),,Clothing & Accessories,9.8
309,Starcom,Shanghai,Creative Agency,China (Mainland),,Alcoholic Drinks,9.8
316,72andSunny,Los Angeles,Creative Agency,USA,,Alcoholic Drinks,9.5
